id,nombre,descripcion,usuario_id
1,Bases De Datos Sql,Diseño relacional y optimización de consultas.,1
2,Frontend Avanzado,"Dominio de react, html5 y tailwind css.",2
3,Python Para Data Science,Aprende a manipular datos con pandas y numpy.,3
4,Introducción A Git,Descripción pendiente de asignar,4
5,Desarrollo Web Con Java,Creación de apis robustas usando spring boot.,5
2,Frontend Avanzado,"Dominio de react, html5 y tailwind css.",6
5,Desarrollo Web Con Java,Creación de apis robustas usando spring boot.,7
6,Arquitectura De Software,Patrones de diseño y microservicios.,8
3,Python Para Data Science,Aprende a manipular datos con pandas y numpy.,9
2,Frontend Avanzado,"Dominio de react, html5 y tailwind css.",10
2,Frontend Avanzado,"Dominio de react, html5 y tailwind css.",11
2,Frontend Avanzado,"Dominio de react, html5 y tailwind css.",12
3,Python Para Data Science,Aprende a manipular datos con pandas y numpy.,13
3,Python Para Data Science,Aprende a manipular datos con pandas y numpy.,14
3,Python Para Data Science,Aprende a manipular datos con pandas y numpy.,15
2,Frontend Avanzado,"Dominio de react, html5 y tailwind css.",16
6,Arquitectura De Software,Patrones de diseño y microservicios.,17
6,Arquitectura De Software,Patrones de diseño y microservicios.,18
6,Arquitectura De Software,Patrones de diseño y microservicios.,19
2,Frontend Avanzado,"Dominio de react, html5 y tailwind css.",20
3,Python Para Data Science,Aprende a manipular datos con pandas y numpy.,21
1,Bases De Datos Sql,Diseño relacional y optimización de consultas.,22
2,Frontend Avanzado,"Dominio de react, html5 y tailwind css.",23
2,Frontend Avanzado,"Dominio de react, html5 y tailwind css.",24
3,Python Para Data Science,Aprende a manipular datos con pandas y numpy.,25
5,Desarrollo Web Con Java,Creación de apis robustas usando spring boot.,26
5,Desarrollo Web Con Java,Creación de apis robustas usando spring boot.,27
3,Python Para Data Science,Aprende a manipular datos con pandas y numpy.,28
6,Arquitectura De Software,Patrones de diseño y microservicios.,29
4,Introducción A Git,Descripción pendiente de asignar,30
6,Arquitectura De Software,Patrones de diseño y microservicios.,31
1,Bases De Datos Sql,Diseño relacional y optimización de consultas.,32
4,Introducción A Git,Descripción pendiente de asignar,33
4,Introducción A Git,Descripción pendiente de asignar,34
6,Arquitectura De Software,Patrones de diseño y microservicios.,35
1,Bases De Datos Sql,Diseño relacional y optimización de consultas.,36
5,Desarrollo Web Con Java,Creación de apis robustas usando spring boot.,37
1,Bases De Datos Sql,Diseño relacional y optimización de consultas.,38
6,Arquitectura De Software,Patrones de diseño y microservicios.,39
3,Python Para Data Science,Aprende a manipular datos con pandas y numpy.,40
4,Introducción A Git,Descripción pendiente de asignar,41
5,Desarrollo Web Con Java,Creación de apis robustas usando spring boot.,42
2,Frontend Avanzado,"Dominio de react, html5 y tailwind css.",43
5,Desarrollo Web Con Java,Creación de apis robustas usando spring boot.,44
2,Frontend Avanzado,"Dominio de react, html5 y tailwind css.",45
4,Introducción A Git,Descripción pendiente de asignar,46
6,Arquitectura De Software,Patrones de diseño y microservicios.,47
2,Frontend Avanzado,"Dominio de react, html5 y tailwind css.",48
2,Frontend Avanzado,"Dominio de react, html5 y tailwind css.",49
6,Arquitectura De Software,Patrones de diseño y microservicios.,50
